;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;477;770;526;786;778.0;;1;[];[];0.0;0.0;0;;;382.7209014892578;;;
1;1;is;535;770;548;786;778.0;0.0;1;[];[];0.0;0.0;0;;;360.7209014892578;;;
2;2;the;556;770;584;786;778.0;0.0;1;[np.float64(5583.0)];[np.float64(0.52670928410123)];467.0;467.0;1;3.056;2.9535;324.7209014892578;3.0;467.0;467.0
3;3;main;593;770;637;786;778.0;0.0;1;[];[];0.0;0.0;0;;;271.7209014892578;;;
4;4;topic;645;770;690;790;780.0;2.0;1;[np.float64(5584.0)];[np.float64(4.293212175369263)];133.0;133.0;1;2.9821;2.9273;218.7209014892578;2.95;133.0;133.0
5;5;of;698;770;715;786;778.0;2.0;1;[np.float64(5587.0), np.float64(5588.0)];[np.float64(0.0), np.float64(0.14772796630859375)];400.0;167.0;2;3.025;2.998;193.7209014892578;3.01;200.0;400.0
6;6;the;722;770;751;786;778.0;0.0;1;[np.float64(5585.0)];[np.float64(0.0)];200.0;200.0;1;3.0075;2.9898;157.7209014892578;3.0;200.0;200.0
7;7;report;760;771;814;790;780.5;2.5;1;[np.float64(5586.0), np.float64(5589.0)];[np.float64(0.0), np.float64(0.0)];533.0;200.0;2;3.0077;3.0415;94.72445703748872;3.02;266.5;933.0
8;8;mentioned;823;770;921;786;778.0;2.5;1;[np.float64(5591.0)];[np.float64(0.0)];167.0;167.0;1;3.0299;3.0971;0.0;3.06;167.0;167.0
9;9;in;930;770;944;786;778.0;0.0;1;[];[];0.0;0.0;0;;;21.279098510742188;;;
10;10;the;952;770;981;786;778.0;0.0;1;[np.float64(5590.0)];[np.float64(3.0396461486816406)];133.0;133.0;1;3.0525;3.1219;43.27909851074219;3.09;133.0;300.0
11;11;image?;990;770;1058;790;780.0;2.0;1;[];[];0.0;0.0;0;;;81.27909851074219;;;
