;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;268;342;304;358;350.0;;1;[];[];0.0;0.0;0;;;443.28186012651696;;;
1;1;quote;312;343;365;362;352.5;2.5;1;[];[];0.0;0.0;0;;;382.21337094633844;;;
2;2;on;373;346;395;358;352.0;0.5;1;[np.float64(1196.0)];[np.float64(52.91943012751068)];66.0;66.0;1;3.4181;3.3062;352.31343120336385;3.36;66.0;66.0
3;3;the;403;342;432;358;350.0;2.0;1;[];[];0.0;0.0;0;;;315.3314775898263;;;
4;4;image,;441;342;502;362;352.0;2.0;1;[];[];0.0;0.0;0;;;245.24339079368198;;;
5;5;"""Peace,";512;342;585;360;351.0;1.0;1;[];[];0.0;0.0;0;;;162.37751291582444;;;
6;6;Poetry,;595;342;661;362;352.0;1.0;1;[];[];0.0;0.0;0;;;86.39766519836725;;;
7;7;and;670;342;704;358;350.0;2.0;1;[];[];0.0;0.0;0;;;44.39705956163474;;;
8;8;"Power,""";713;342;786;361;351.5;1.5;1;[];[];0.0;0.0;0;;;7.408877823378987;;;
9;9;suggests;795;343;881;362;352.5;1.0;1;[];[];0.0;0.0;0;;;48.26773419371157;;;
10;10;that;889;342;925;358;350.0;2.5;1;[];[];0.0;0.0;0;;;142.2217763255614;;;
11;11;the;932;342;961;358;350.0;0.0;1;[];[];0.0;0.0;0;;;185.13320875683314;;;
12;12;person;970;346;1034;362;354.0;4.0;1;[];[];0.0;0.0;0;;;222.9325046805896;;;
13;13;who;1041;342;1081;358;350.0;4.0;1;[];[];0.0;0.0;0;;;294.02466628802745;;;
14;14;created;1088;342;1159;358;350.0;0.0;1;[];[];0.0;0.0;0;;;340.99926484230724;;;
15;15;the;1167;342;1196;358;350.0;0.0;1;[];[];0.0;0.0;0;;;419.96937527710475;;;
16;16;image;1205;342;1261;362;352.0;2.0;1;[];[];0.0;0.0;0;;;457.8852179631939;;;
17;17;values;252;425;313;440;432.5;80.5;2;[np.float64(1197.0)];[np.float64(11.227623448005147)];166.0;166.0;1;3.444;3.3151;437.8323245775182;3.38;166.0;166.0
18;18;peace,;322;429;384;444;436.5;4.0;2;[np.float64(1198.0), np.float64(1216.0)];[np.float64(10.833462128272458), np.float64(46.19943462885345)];432.0;166.0;2;3.362;3.235;368.179582734301;3.3;216.0;166.0
