;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;101.0;4.92;116.8812;178.5743;0.6634;2.6776;0.6912;463.5952;18036.0;14.2;0.2871;0.703;0.2772;0.7129;0.2178;0.7723;18;1;
1;112.0;5.06;96.0;172.4821;0.7143;2.728;0.6543;601.0682;19318.0;14.1;0.2321;0.7589;0.2321;0.7589;0.1875;0.8036;18;1;
2;34.0;3.79;126.3235;290.3824;1.1765;2.6788;0.5854;614.0588;9873.0;20.2;0.3824;0.5882;0.3235;0.6471;0.3235;0.6471;18;1;
3;89.0;4.64;106.4607;139.8876;0.5618;2.7268;0.7647;423.1892;12450.0;20.1;0.3146;0.6742;0.3034;0.6854;0.2584;0.7303;18;1;
4;7.0;5.29;128.7143;243.1429;1.2857;2.784;0.5;460.6;1702.0;11.1;0.4286;0.4286;0.2857;0.5714;0.4286;0.4286;18;1;
5;15.0;5.07;142.2;217.8;0.9333;2.7222;0.6;363.0;3267.0;11.2;0.4;0.5333;0.4;0.5333;0.4;0.5333;18;1;
6;15.0;4.67;113.4667;182.4;0.8;2.8312;0.5385;454.625;2736.0;15.1;0.4;0.5333;0.3333;0.6;0.3333;0.6;18;1;
7;66.0;5.61;90.5455;151.6818;0.7273;2.8479;0.6122;390.8571;10011.0;15.2;0.3333;0.6515;0.2879;0.697;0.2879;0.697;18;1;
8;55.0;4.58;124.5818;398.4545;1.6727;2.68;0.6559;981.9688;21915.0;5.2;0.2909;0.6909;0.2727;0.7091;0.2182;0.7636;18;1;
9;89.0;4.3;122.4944;189.191;0.7416;2.7279;0.7612;464.2308;16838.0;5.1;0.3483;0.6404;0.3371;0.6517;0.2697;0.7191;18;1;
10;90.0;4.77;129.2444;168.1333;0.7;2.7576;0.75;416.9388;15132.0;27.2;0.3778;0.6111;0.3667;0.6222;0.2667;0.7222;18;1;
11;73.0;4.44;84.4384;190.9452;0.8493;2.7546;0.6825;614.5357;13939.0;27.1;0.2055;0.7808;0.2192;0.7671;0.1644;0.8219;18;1;
12;7.0;3.43;96.4286;243.8571;1.2857;2.725;0.5;537.0;1707.0;13.1;0.4286;0.4286;0.4286;0.4286;0.2857;0.5714;18;1;
13;98.0;4.2;71.398;82.3776;0.3776;2.7068;0.7895;294.0323;8073.0;13.2;0.2653;0.7245;0.2653;0.7245;0.2245;0.7653;18;1;
14;59.0;4.58;107.8475;169.4237;0.6949;2.5968;0.6667;435.4643;9996.0;9.2;0.3729;0.6102;0.3729;0.6102;0.3051;0.678;18;1;
15;74.0;4.62;78.3784;195.5811;0.8649;2.713;0.6615;543.6;14473.0;9.1;0.2838;0.7027;0.2973;0.6892;0.2568;0.7297;18;1;
16;30.0;4.3;65.6;92.3;0.5;2.8218;0.625;276.0;2769.0;2.2;0.2667;0.7;0.3;0.6667;0.2667;0.7;18;1;
17;41.0;4.32;48.7805;48.7805;0.2927;2.9958;0.6923;191.6667;2000.0;2.1;0.2195;0.7561;0.2195;0.7561;0.1707;0.8049;18;1;
18;108.0;4.56;108.8981;163.1574;0.6759;2.6102;0.7703;464.1961;17621.0;3.1;0.3056;0.6852;0.3148;0.6759;0.2222;0.7685;18;1;
19;39.0;4.72;85.5897;116.6154;0.5897;2.7353;0.5417;443.4;4548.0;3.2;0.2308;0.7436;0.2564;0.7179;0.1795;0.7949;18;1;
20;120.0;4.68;91.625;140.2583;0.6;2.6065;0.8082;368.6735;16831.0;25.1;0.2833;0.7083;0.2917;0.7;0.2;0.7917;18;1;
21;116.0;4.3;75.9224;126.2155;0.5776;2.6074;0.6912;461.9231;14641.0;25.2;0.2155;0.7759;0.2241;0.7672;0.181;0.8103;18;1;
22;41.0;4.0;87.0244;114.6585;0.6098;2.6484;0.6923;364.9474;4701.0;30.2;0.3659;0.6098;0.3415;0.6341;0.2927;0.6829;18;1;
23;53.0;4.98;68.1321;68.1321;0.3396;2.6917;0.7895;222.8889;3611.0;30.1;0.283;0.6981;0.283;0.6981;0.2453;0.7358;18;1;
24;57.0;4.12;134.5439;168.4737;0.6667;2.5959;0.7949;353.2414;9603.0;6.2;0.3684;0.614;0.3684;0.614;0.2632;0.7193;18;1;
