;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;14.2;False;True;21.63;14.1;;;;0
1;14.1;False;False;18.56;21.2;;;;0
2;20.2;False;False;17.02;38.01;;;;0
3;20.1;False;True;19.16;14.35;;;;0
4;11.1;False;True;29.37;0.67;;;;0
5;11.2;False;True;22.82;4.14;;;;0
6;15.1;False;True;21.48;8.43;;;;0
7;15.2;False;False;37.69;40.24;;;30.11;1
8;5.2;False;False;14.57;22.66;;;;0
9;5.1;False;False;23.66;47.85;;;;0
10;27.2;False;False;25.18;35.35;;;;0
11;27.1;False;True;28.29;25.58;;;;0
12;13.1;False;False;15.09;35.98;;;;0
13;13.2;False;False;26.89;28.1;;;;0
14;9.2;False;False;26.25;32.35;;;;0
15;9.1;False;False;9.79;11.03;;;;0
16;2.2;False;False;11.29;38.38;;;;0
17;2.1;False;True;35.32;28.83;;;22.42;1
18;3.1;False;False;18.81;25.72;;;;0
19;3.2;False;True;31.05;19.54;;;;0
20;25.1;False;True;27.61;26.24;;;;0
21;25.2;False;True;19.24;18.31;;;;0
22;30.2;False;False;15.99;51.13;;;;0
23;30.1;False;False;16.03;62.07;;;;0
24;6.2;False;False;12.25;49.57;;;;0
25;6.1;False;False;15.13;26.16;;;;0
26;26.2;False;False;30.5;38.99;;;;0
27;26.1;False;False;15.18;47.93;;;;0
28;23.1;False;False;13.26;17.31;;;;0
29;23.2;False;True;19.98;16.79;;;;0
30;7.1;False;False;38.83;160.74;;;;0
31;7.2;False;False;9.56;21.48;;;;0
32;12.1;False;True;33.85;11.68;;;;0
33;12.2;False;False;14.15;15.41;;;;0
34;24.1;False;False;20.73;34.94;;;;0
35;24.2;False;False;19.53;22.88;;;;0
36;18.2;False;False;35.4;36.93;;;;0
37;18.1;False;True;29.11;4.07;;;;0
38;28.2;False;False;5.74;54.94;;;;0
39;28.1;False;True;26.63;25.32;;;;0
40;21.1;False;False;16.23;48.57;;;;0
41;21.2;False;True;24.34;24.2;;;;0
42;4.1;False;True;32.79;21.41;;;;0
43;4.2;False;False;17.07;28.5;;;;0
44;10.2;False;False;21.71;44.42;;;;0
45;10.1;False;True;25.15;23.81;;;22.01;1
46;29.1;False;False;34.77;155.22;;;;0
47;29.2;False;True;26.34;15.24;;;;0
48;16.1;False;False;6.99;40.63;;;;0
49;16.2;False;False;14.99;33.17;;;;0
50;1.1;False;True;31.69;6.13;;;;0
51;1.2;False;False;9.66;34.82;;;;0
52;17.1;False;True;26.78;16.68;;;;0
53;17.2;False;False;11.23;33.18;;;;0
54;19.2;False;False;22.78;50.06;;;;0
55;19.1;False;False;18.71;22.37;;;;0
56;8.2;False;False;27.41;34.47;;;;0
57;8.1;False;False;21.23;29.99;;;;0
58;22.1;False;True;29.43;24.76;;;;0
59;22.2;False;False;25.76;32.57;;;;0
60;14.0;False;False;105.79;;;;95.23;10
61;20.0;False;True;95.9;57.51;;;;0
62;11.0;False;True;96.68;63.44;;;;0
63;15.0;False;True;97.23;60.35;;;;0
64;5.0;False;True;95.76;60.48;;;;0
65;27.0;True;False;;;;;;0
66;13.0;False;True;100.95;5.25;;;;0
67;9.0;False;True;87.24;36.83;;;;0
68;2.0;False;True;90.98;18.22;;;;0
69;3.0;False;True;99.58;49.41;;;;0
70;25.0;False;True;96.14;43.9;;;;0
71;30.0;False;True;94.61;55.5;;;;0
72;6.0;False;True;102.12;88.9;;;55.33;3
73;26.0;False;True;106.74;60.1;;;;0
74;23.0;True;False;;;;;;0
75;7.0;True;False;;;;;;0
76;12.0;False;True;106.8;46.32;;;;0
77;24.0;False;True;106.45;13.8;;;;0
78;18.0;False;True;106.49;35.44;;;;0
79;28.0;False;True;114.41;63.41;;;;0
80;21.0;False;True;115.38;58.65;;;;0
81;4.0;False;True;109.87;65.0;;;;0
82;10.0;False;True;110.4;42.47;;;38.75;1
83;29.0;False;True;108.93;45.95;;;;0
84;16.0;False;True;103.31;45.68;;;;0
85;1.0;False;True;95.79;52.81;;;;0
86;17.0;False;True;104.66;40.87;;;;0
87;19.0;False;True;108.22;54.63;;;;0
88;8.0;False;True;110.58;55.31;;;;0
89;22.0;False;False;93.6;109.48;;;81.75;3
