;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;101;4.92;143.4851;206.5446;0.8317;3.0682;0.7765;411.4167;20861.0;14.2;0.396;0.5941;0.3762;0.6139;0.3168;0.6733;20;1
1;112;5.06;90.1339;105.4018;0.5804;3.0062;0.8333;223.4464;11805.0;14.1;0.3661;0.625;0.3661;0.625;0.2768;0.7143;20;1
2;21;4.48;206.4286;298.5238;1.2381;3.1894;0.5926;562.8125;6269.0;16.1;0.4286;0.5238;0.4762;0.4762;0.3333;0.619;20;1
3;38;4.76;158.6579;230.7895;1.0263;2.9856;0.75;346.2692;8770.0;16.2;0.3947;0.5789;0.4474;0.5263;0.2895;0.6842;20;1
4;34;3.79;124.7647;130.8529;0.6765;3.1255;0.8333;223.3333;4449.0;20.2;0.4118;0.5588;0.4412;0.5294;0.3235;0.6471;20;1
5;89;4.64;105.2022;120.0;0.618;2.9154;0.8393;243.7826;10680.0;20.1;0.4157;0.573;0.4157;0.573;0.382;0.6067;20;1
6;41;5.83;149.561;178.1951;0.9268;3.0084;0.7692;266.0;7306.0;23.1;0.3902;0.5854;0.439;0.5366;0.2927;0.6829;20;1
7;12;7.08;177.75;413.25;1.8333;2.974;0.4348;656.8;4959.0;23.2;0.3333;0.5833;0.4167;0.5;0.3333;0.5833;20;1
8;90;4.77;102.0222;116.1;0.6111;2.958;0.8393;227.98;10449.0;27.2;0.3667;0.6222;0.3667;0.6222;0.2778;0.7111;20;1
9;73;4.44;102.2603;102.2603;0.4932;2.9397;0.9459;207.3611;7465.0;27.1;0.3973;0.589;0.3973;0.589;0.3425;0.6438;20;1
10;16;4.62;67.25;131.75;0.75;3.05;0.4615;301.1429;2108.0;8.2;0.375;0.5625;0.375;0.5625;0.3125;0.625;20;1
11;30;4.3;131.8667;209.7;0.9333;2.9271;0.6207;411.9444;6291.0;8.1;0.4;0.5667;0.4;0.5667;0.4;0.5667;20;1
12;72;4.94;104.875;116.4444;0.5556;2.8675;0.8293;236.6111;8384.0;10.2;0.3472;0.6389;0.3472;0.6389;0.3194;0.6667;20;1
13;93;5.25;127.5591;159.086;0.8065;2.87;0.8158;295.8966;14795.0;10.1;0.4301;0.5591;0.4409;0.5484;0.3226;0.6667;20;1
14;14;6.0;145.2143;180.9286;0.8571;2.9256;0.6154;281.4444;2533.0;29.2;0.5;0.4286;0.4286;0.5;0.5;0.4286;20;1
15;3;5.0;233.3333;658.0;3.3333;2.9867;0.4545;927.3333;1974.0;29.1;0.0;0.6667;0.3333;0.3333;0.0;0.6667;20;1
16;15;4.67;129.4667;171.2667;0.8;3.1244;0.6154;349.3333;2569.0;15.1;0.5333;0.4;0.4667;0.4667;0.4667;0.4667;20;1
17;66;5.61;71.2273;101.0152;0.5;2.9662;0.6471;326.0417;6667.0;15.2;0.303;0.6818;0.3182;0.6667;0.2424;0.7424;20;1
18;30;4.3;82.3333;94.5333;0.4667;2.9785;0.8;218.1538;2836.0;2.2;0.3667;0.6;0.3667;0.6;0.3667;0.6;20;1
19;41;4.32;85.3659;89.439;0.4878;2.9153;0.8095;207.0526;3667.0;2.1;0.3415;0.6341;0.3659;0.6098;0.3171;0.6585;20;1
20;115;4.5;104.7217;119.2;0.5478;2.7969;0.875;254.0727;13708.0;19.1;0.3913;0.6;0.3739;0.6174;0.3304;0.6609;20;1
21;19;3.89;149.0526;201.3158;0.8947;2.8842;0.6667;341.0;3825.0;19.2;0.4211;0.5263;0.4211;0.5263;0.3158;0.6316;20;1
22;39;4.72;129.0513;144.4615;0.7949;2.8841;0.7812;229.6296;5634.0;3.2;0.3846;0.5897;0.3846;0.5897;0.3077;0.6667;20;1
23;108;4.56;82.1111;87.3611;0.463;2.8469;0.8627;216.9149;9435.0;3.1;0.3241;0.6667;0.3241;0.6667;0.2593;0.7315;20;1
24;7;5.29;90.4286;176.2857;0.8571;3.0125;0.5714;308.5;1234.0;11.1;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;20;1
