;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
1463;1465;634.937223459219;765.6624484991099;700.0;2.848045712425596;2.821315220424107;;;
1464;1466;664.8791422410444;760.2531854672866;134.0;2.817588806152344;2.7858657836914062;the;5.0;9.746814532713415
1465;1467;601.2337240739301;763.9810847802596;133.0;2.829292297363281;2.8055419921875;title;3.0;6.018915219740393
1485;1487;516.5248610063032;767.3425535722213;166.0;2.811590576171875;2.7790496826171878;What;0.0;2.657446427778723
1486;1488;602.3617430253462;762.930416731401;166.0;2.8488739013671878;2.81236572265625;title;3.0;7.06958326859899
1487;1489;708.1171049638228;766.0330605073409;200.0;2.871495564778646;2.80126953125;book;6.0;3.966939492659094
1488;1490;809.71041245894;770.9235729737716;134.0;2.909740447998047;2.809120178222656;study;8.0;0.0
1489;1491;711.1893171830611;754.9879297776656;200.0;2.7986628214518228;2.714411417643229;book;6.0;15.012070222334387
1490;1492;806.7092360063034;773.4004766984419;167.0;2.84368896484375;2.7378173828125;study;8.0;0.0
1491;1493;875.6002745194869;773.743935064836;200.0;2.8322525024414062;2.762413024902344;mentioned;9.0;0.0
1492;1494;990.6498187176593;775.3464663617023;233.0;2.821049281529018;2.765354701450893;image?;12.0;3.3501812823407136
1508;1510;1042.6355696244673;764.3256683869796;167.0;2.7938446044921874;2.7753143310546875;image?;12.0;5.674331613020399
