classified_movement,recording_timestamp,x,y,pupil_l,pupil_r,duration,ID,USER
fixation,0.0,0.5965203556322283,0.47923499009301584,3.7009695729901715,3.745573966733871,508.0,1,Starttimelines
fixation,566.6539999246597,0.33124077320098877,0.3001207336783409,3.7121715545654297,3.77178955078125,133.0,2,Starttimelines
fixation,733.3009999990463,0.2563215494155884,0.18767516793949263,3.4851891653878346,3.5466995239257812,234.0,3,Starttimelines
fixation,983.3439999818802,0.2395729525458245,0.1877935617452576,3.476804460797991,3.5480768112909224,350.0,4,Starttimelines
fixation,1416.75,0.7532169818878174,0.44033907204866407,3.6516082763671873,3.671820068359375,167.0,5,Starttimelines
fixation,1633.4529999494553,1.1355576860277277,0.7879280793039423,3.8027592709189966,3.8149406031558386,324.0,6,Starttimelines
fixation,2150.235000014305,-0.2666500945176397,0.9923846551350185,3.982715061732701,4.09679194859096,234.0,7,Starttimelines
fixation,2450.2710000276566,0.38708991500047535,0.41146564942139846,3.907977764423077,3.9281686636117787,225.0,8,Starttimelines
fixation,2883.62399995327,0.39691186249256133,0.2364155039191246,3.924282836914063,4.063967895507813,75.0,9,Starttimelines
fixation,3016.9650000333786,0.653987772324506,0.26082073152065277,4.100165872012868,4.1366137336282165,283.0,10,Starttimelines
fixation,3333.661999940872,0.7733509049696081,0.2700526815126924,4.168238022748162,4.228496775907629,283.0,11,Starttimelines
fixation,3683.7029999494553,1.0822007973988852,0.6143710931142171,4.280312093098958,4.226793416341146,250.0,12,Starttimelines
fixation,4017.0579999685287,0.48079120450549656,0.33705920312139726,4.244181315104167,4.303931342230903,150.0,13,Starttimelines
fixation,4217.039000034332,0.28032676531718326,0.24661783128976822,4.256266667292668,4.33862069936899,217.0,14,Starttimelines
fixation,4533.667999982834,-0.3177608677319118,0.9378493641104017,4.20671626499721,4.337867736816406,241.0,15,Starttimelines
fixation,5000.2580000162125,0.41933282784053255,0.24527978790657862,4.059581211635044,4.161472865513393,109.0,16,Starttimelines
fixation,5150.228999972343,0.271402470767498,0.21053109442194304,4.1091868082682295,4.245861053466797,200.0,17,Starttimelines
fixation,5366.845999956131,0.2428131796992742,0.20938013780575532,4.113734318659856,4.2481888991135826,217.0,18,Starttimelines
fixation,5600.1439999341965,0.22004710013667741,0.26151368270317715,3.9022725423177085,4.00478998819987,200.0,19,Starttimelines
fixation,5833.483000040054,0.2738247444996467,0.2705134531626335,3.7920755239633412,3.8610616830679088,216.0,20,Starttimelines
fixation,6083.490000009537,0.34412625597582924,0.2670419646633996,3.746644761827257,3.8036092122395835,150.0,21,Starttimelines
fixation,6250.164999961853,0.3876760914921761,0.2605111442506313,3.667677307128906,3.7131027221679687,167.0,22,Starttimelines
fixation,6450.164999961853,0.4719069016476472,0.2514333873987198,3.564917246500651,3.5704053243001304,200.0,23,Starttimelines
fixation,6983.508999943733,0.5883796744876437,0.23571795059574974,3.542017618815104,3.5137176513671875,142.0,24,Starttimelines
fixation,7166.845999956131,0.6825515834184793,0.23980965923804504,3.677815363957332,3.6420828012319713,217.0,25,Starttimelines
fixation,7450.177999973297,0.2963783033192158,0.2706907410174608,3.649871826171875,3.6565284729003906,134.0,26,Starttimelines
fixation,7600.174999952316,0.23297595170636973,0.27276743327577907,3.6817232767740884,3.673142751057943,200.0,27,Starttimelines
