classified_movement,recording_timestamp,x,y,pupil_l,pupil_r,duration,ID,USER
fixation,0.0,0.7383355029991695,0.4956053133521761,2.4398345947265625,2.450467790876116,216.0,1,Starttimelines
fixation,266.8149999976158,0.5336606279015541,0.6163898035883904,2.3107872009277344,2.3527297973632812,141.0,2,Starttimelines
fixation,766.737999998033,0.1884364044914643,0.24284696516891321,2.4243011474609375,2.4775466918945312,400.0,3,Starttimelines
fixation,1200.0900000035763,0.2509674419249807,0.2013874426484108,2.261104038783482,2.335575648716518,233.0,4,Starttimelines
fixation,1466.7709999978542,0.1830714253278879,0.27783408073278576,2.325438279371995,2.385417057917668,441.0,5,Starttimelines
fixation,2366.7709999978542,0.6240308880805969,0.3951752351389991,2.6010335286458335,2.60489739312066,300.0,6,Starttimelines
fixation,2700.1359999999404,0.6195052802562714,0.28006843030452727,2.5133087158203127,2.5604827880859373,167.0,7,Starttimelines
fixation,2900.1630000025034,0.5502356961369514,0.2682520393282175,2.4759292602539062,2.4733543395996094,133.0,8,Starttimelines
fixation,3100.18900000304,0.18805821634390774,0.2737966902992305,2.4410211899701286,2.5223307890050553,567.0,9,Starttimelines
fixation,3700.210000000894,0.29688317626714705,0.2754382073879242,2.4365524291992187,2.5374603271484375,333.0,10,Starttimelines
fixation,4100.230000004172,0.4159691057034901,0.2731257166181292,2.430324009486607,2.5193982805524553,233.0,11,Starttimelines
fixation,4366.912000000477,0.4825889617204666,0.26886145770549774,2.45062255859375,2.4941177368164062,74.0,12,Starttimelines
fixation,5033.615000002086,0.6092235296964645,0.26754384487867355,2.6021957397460938,2.667705535888672,134.0,13,Starttimelines
fixation,5200.288000002503,0.5651293049256007,0.2742702191074689,2.472742716471354,2.5325597127278647,200.0,14,Starttimelines
fixation,5466.969999998808,0.6553636863827705,0.2665472123771906,2.404857635498047,2.474590301513672,133.0,15,Starttimelines
fixation,5633.645000003278,0.7711115214559767,0.2712157592177391,2.4558614095052085,2.510257297092014,601.0,16,Starttimelines
fixation,6333.678000003099,0.22649222612380981,0.3360170324643453,2.4541778564453125,2.565887451171875,100.0,17,Starttimelines
fixation,6467.020000003278,0.17404474131762981,0.32126443088054657,2.4442062377929688,2.529125213623047,141.0,18,Starttimelines
fixation,7033.71400000155,0.7389840722084046,0.2817469000816345,2.5689849853515625,2.6006866455078126,166.0,19,Starttimelines
fixation,7233.719000004232,0.796633529663086,0.2725152298808098,2.5217025756835936,2.5876739501953123,333.0,20,Starttimelines
fixation,7633.729000002146,0.2910258397459984,0.3112385980784893,2.5296630859375,2.6018104553222656,133.0,21,Starttimelines
fixation,7800.39999999851,0.2038407564163208,0.3205709934234619,2.5597625732421876,2.6163360595703127,167.0,22,Starttimelines
fixation,8000.405000001192,0.27502089987198514,0.32473177711168927,2.6211344401041665,2.629084269205729,200.0,23,Starttimelines
fixation,8600.416000001132,0.3796936795115471,0.3022349365055561,2.634552001953125,2.6319351196289062,126.0,24,Starttimelines
fixation,8767.081000000238,0.46579097335537273,0.3087840254108111,2.6706695556640625,2.679041544596354,400.0,25,Starttimelines
fixation,9233.752000004053,0.2980894073843956,0.3139968812465668,2.5504112243652344,2.5924530029296875,133.0,26,Starttimelines
fixation,9433.754000000656,0.48038066923618317,0.3111503943800926,2.5748291015625,2.5707219441731772,200.0,27,Starttimelines
fixation,9667.086999997497,0.5409984350204468,0.30457856953144075,2.5937774658203123,2.578509521484375,167.0,28,Starttimelines
fixation,9867.08900000155,0.6226453125476837,0.3036545604467392,2.6076263427734374,2.5743072509765623,167.0,29,Starttimelines
fixation,10067.08600000292,0.6733898110687733,0.2916835602372885,2.577554702758789,2.559307098388672,267.0,30,Starttimelines
